X,Y,Z
-4.09436,1.872543,-0.500991
-4.094374977,1.872541004,-0.504226445
-4.094391317,1.872538826,-0.507756021
-4.094406294,1.872536829,-0.510991465
-4.094421272,1.872534833,-0.51422691
-4.094436249,1.872532836,-0.517462354
-4.094451227,1.87253084,-0.520697799
-4.094467566,1.872528662,-0.524227375
-4.094482543,1.872526666,-0.527462819
-4.094497521,1.872524669,-0.530698264
-4.094512498,1.872522673,-0.533933709
-4.094528837,1.872520495,-0.537463285
-4.094543815,1.872518498,-0.540698729
-4.094558792,1.872516502,-0.543934174
-4.09457377,1.872514506,-0.547169618
-4.094588747,1.872512509,-0.550405063
-4.094605086,1.872510331,-0.553934639
-4.094620064,1.872508335,-0.557170083
-4.094635041,1.872506338,-0.560405528
-4.094650019,1.872504342,-0.563640973
-4.094666358,1.872502164,-0.567170549
-4.094681335,1.872500168,-0.570405993
-4.094696313,1.872498171,-0.573641438
-4.09471129,1.872496175,-0.576876882
-4.094726268,1.872494178,-0.580112327
-4.094742607,1.872492,-0.583641903
-4.094757584,1.872490004,-0.586877347
-4.094772562,1.872488008,-0.590112792
-4.094787539,1.872486011,-0.593348237
-4.094803878,1.872483833,-0.596877813
-4.094818856,1.872481837,-0.600113257
-4.094833833,1.87247984,-0.603348702
-4.094848811,1.872477844,-0.606584146
-4.094863788,1.872475848,-0.609819591
-4.094880127,1.87247367,-0.613349167
-4.094895105,1.872471673,-0.616584612
-4.094910082,1.872469677,-0.619820056
-4.09492506,1.87246768,-0.623055501
-4.094941399,1.872465502,-0.626585077
-4.094956376,1.872463506,-0.629820521
-4.094971354,1.87246151,-0.633055966
-4.094986331,1.872459513,-0.63629141
-4.095001309,1.872457517,-0.639526855
-4.095017648,1.872455339,-0.643056431
-4.095032625,1.872453342,-0.646291876
-4.095047603,1.872451346,-0.64952732
-4.09506258,1.87244935,-0.652762765
-4.095077558,1.872447353,-0.655998209
-4.095093897,1.872445175,-0.659527785
-4.095108875,1.872443179,-0.66276323
-4.095123852,1.872441182,-0.665998674
-4.095138829,1.872439186,-0.669234119
-4.095155169,1.872437008,-0.672763695
-4.095170146,1.872435012,-0.67599914
-4.095185124,1.872433015,-0.679234584
-4.095200101,1.872431019,-0.682470029
-4.095215079,1.872429022,-0.685705473
-4.095231418,1.872426844,-0.689235049
-4.095246395,1.872424848,-0.692470494
-4.095261373,1.872422852,-0.695705938
-4.09527635,1.872420855,-0.698941383
-4.095292689,1.872418677,-0.702470959
-4.095307667,1.872416681,-0.705706404
-4.095322644,1.872414684,-0.708941848
-4.095337622,1.872412688,-0.712177293
-4.095352599,1.872410692,-0.715412737
-4.095368938,1.872408514,-0.718942313
-4.095383916,1.872406517,-0.722177758
-4.095398893,1.872404521,-0.725413203
-4.095413871,1.872402524,-0.728648647
-4.09543021,1.872400347,-0.732178223
-4.095445187,1.87239835,-0.735413668
-4.095460165,1.872396354,-0.738649112
-4.095475142,1.872394357,-0.741884557
-4.09549012,1.872392361,-0.745120001
-4.095506459,1.872390183,-0.748649577
-4.095521436,1.872388186,-0.751885022
