X,Y,Z
-3.822121,1.868129,0.752175
-3.822040557,1.86812439,0.749421054
-3.821960114,1.868119781,0.746667109
-3.82187967,1.868115171,0.743913163
-3.821809283,1.868111138,0.741503461
-3.821728839,1.868106528,0.738749515
-3.821648396,1.868101919,0.73599557
-3.821567953,1.868097309,0.733241624
-3.821497565,1.868093276,0.730831922
-3.821417122,1.868088666,0.728077976
-3.821336679,1.868084056,0.72532403
-3.821256236,1.868079447,0.722570085
-3.821175792,1.868074837,0.719816139
-3.821105405,1.868070804,0.717406437
-3.821024961,1.868066194,0.714652491
-3.820944518,1.868061585,0.711898546
-3.820864075,1.868056975,0.7091446
-3.820793687,1.868052942,0.706734898
-3.820713244,1.868048332,0.703980952
-3.820632801,1.868043722,0.701227006
-3.820552358,1.868039113,0.698473061
-3.82048197,1.868035079,0.696063358
-3.820401527,1.86803047,0.693309413
-3.820321083,1.86802586,0.690555467
-3.82024064,1.868021251,0.687801522
-3.820160197,1.868016641,0.685047576
-3.820089809,1.868012608,0.682637874
-3.820009366,1.868007998,0.679883928
-3.819928923,1.868003388,0.677129982
-3.81984848,1.867998779,0.674376037
-3.819778092,1.867994745,0.671966334
-3.819697649,1.867990136,0.669212389
-3.819617205,1.867985526,0.666458443
-3.819536762,1.867980917,0.663704498
-3.819466374,1.867976883,0.661294795
-3.819385931,1.867972274,0.65854085
-3.819305488,1.867967664,0.655786904
-3.819225045,1.867963054,0.653032958
-3.819144602,1.867958445,0.650279013
-3.819074214,1.867954411,0.64786931
-3.818993771,1.867949802,0.645115365
-3.818913327,1.867945192,0.642361419
-3.818832884,1.867940583,0.639607474
-3.818762496,1.867936549,0.637197771
-3.818682053,1.86793194,0.634443826
-3.81860161,1.86792733,0.63168988
-3.818521167,1.86792272,0.628935934
-3.818450779,1.867918687,0.626526232
-3.818370336,1.867914077,0.623772286
-3.818289893,1.867909468,0.621018341
-3.818209449,1.867904858,0.618264395
-3.818129006,1.867900249,0.61551045
-3.818058618,1.867896215,0.613100747
-3.817978175,1.867891606,0.610346802
-3.817897732,1.867886996,0.607592856
-3.817817289,1.867882386,0.60483891
-3.817746901,1.867878353,0.602429208
-3.817666458,1.867873743,0.599675262
-3.817586015,1.867869134,0.596921317
-3.817505571,1.867864524,0.594167371
-3.817435184,1.867860491,0.591757669
-3.81735474,1.867855881,0.589003723
-3.817274297,1.867851272,0.586249778
-3.817193854,1.867846662,0.583495832
-3.817113411,1.867842052,0.580741886
-3.817043023,1.867838019,0.578332184
-3.81696258,1.867833409,0.575578238
-3.816882137,1.8678288,0.572824293
-3.816801693,1.86782419,0.570070347
-3.816731306,1.867820157,0.567660645
-3.816650862,1.867815547,0.564906699
-3.816570419,1.867810938,0.562152754
-3.816489976,1.867806328,0.559398808
-3.816419588,1.867802295,0.556989106
-3.816339145,1.867797685,0.55423516
-3.816258702,1.867793075,0.551481214
-3.816178259,1.867788466,0.548727269
-3.816097815,1.867783856,0.545973323
-3.816027428,1.867779823,0.543563621
-3.815946984,1.867775213,0.540809675
-3.815866541,1.867770604,0.53805573
-3.815786098,1.867765994,0.535301784
-3.81571571,1.867761961,0.532892082
-3.815635267,1.867757351,0.530138136
-3.815554824,1.867752741,0.52738419
-3.815474381,1.867748132,0.524630245
-3.815403993,1.867744098,0.522220542
-3.81532355,1.867739489,0.519466597
-3.815243106,1.867734879,0.516712651
-3.815162663,1.86773027,0.513958706
-3.81508222,1.86772566,0.51120476
-3.815011832,1.867721627,0.508795058
-3.814931389,1.867717017,0.506041112
-3.814850946,1.867712407,0.503287166
-3.814770503,1.867707798,0.500533221
-3.814700115,1.867703764,0.498123518
-3.814619672,1.867699155,0.495369573
-3.814539228,1.867694545,0.492615627
-3.814458785,1.867689936,0.489861682
-3.814388397,1.867685902,0.487451979
-3.814307954,1.867681293,0.484698034
-3.814227511,1.867676683,0.481944088
-3.814147068,1.867672073,0.479190142
-3.814066625,1.867667464,0.476436197
-3.813996237,1.86766343,0.474026494
-3.813915794,1.867658821,0.471272549
-3.81383535,1.867654211,0.468518603
-3.813754907,1.867649602,0.465764658
-3.813684519,1.867645568,0.463354955
-3.813604076,1.867640959,0.46060101
-3.813523633,1.867636349,0.457847064
-3.81344319,1.867631739,0.455093118
-3.813372802,1.867627706,0.452683416
-3.813292359,1.867623096,0.44992947
-3.813211916,1.867618487,0.447175525
-3.813131472,1.867613877,0.444421579
-3.813051029,1.867609268,0.441667634
-3.812980641,1.867605234,0.439257931
-3.812900198,1.867600625,0.436503986
-3.812819755,1.867596015,0.43375004
-3.812739312,1.867591405,0.430996094
-3.812668924,1.867587372,0.428586392
-3.812588481,1.867582762,0.425832446
-3.812508038,1.867578153,0.423078501
