Format Version,1.22,Take Name,day 2 back right triangle,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-20 09.10.08.679 AM,Total Frames in Take,1339,Total Exported Frames,1339,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,"front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker4","front right triangle:Marker4","front right triangle:Marker4","front right triangle:Marker4",front right triangle:Marker1,front right triangle:Marker1,front right triangle:Marker1,front right triangle:Marker2,front right triangle:Marker2,front right triangle:Marker2,front right triangle:Marker3,front right triangle:Marker3,front right triangle:Marker3,front right triangle:Marker4,front right triangle:Marker4,front right triangle:Marker4,Unlabeled 1145,Unlabeled 1145,Unlabeled 1145,Unlabeled 1146,Unlabeled 1146,Unlabeled 1146,Unlabeled 1147,Unlabeled 1147,Unlabeled 1147,Unlabeled 1148,Unlabeled 1148,Unlabeled 1148,Unlabeled 1149,Unlabeled 1149,Unlabeled 1149,Unlabeled 1150,Unlabeled 1150,Unlabeled 1150,Unlabeled 1152,Unlabeled 1152,Unlabeled 1152,Unlabeled 1153,Unlabeled 1153,Unlabeled 1153,Unlabeled 1154,Unlabeled 1154,Unlabeled 1154,Unlabeled 1155,Unlabeled 1155,Unlabeled 1155,Unlabeled 1156,Unlabeled 1156,Unlabeled 1156,Unlabeled 1157,Unlabeled 1157,Unlabeled 1157,Unlabeled 1158,Unlabeled 1158,Unlabeled 1158,Unlabeled 1159,Unlabeled 1159,Unlabeled 1159,Unlabeled 1160,Unlabeled 1160,Unlabeled 1160,Unlabeled 1161,Unlabeled 1161,Unlabeled 1161,Unlabeled 1162,Unlabeled 1162,Unlabeled 1162,Unlabeled 1163,Unlabeled 1163,Unlabeled 1163,Unlabeled 1164,Unlabeled 1164,Unlabeled 1164,Unlabeled 1165,Unlabeled 1165,Unlabeled 1165,Unlabeled 1166,Unlabeled 1166,Unlabeled 1166,Unlabeled 1167,Unlabeled 1167,Unlabeled 1167
,,"64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","3598FB0A8C1E11E87C158CA0568DC94","3598FB0A8C1E11E87C158CA0568DC94","3598FB0A8C1E11E87C158CA0568DC94","3598FB0B8C1E11E87C158CA0568DC94","3598FB0B8C1E11E87C158CA0568DC94","3598FB0B8C1E11E87C158CA0568DC94","3598FB0C8C1E11E87C158CA0568DC94","3598FB0C8C1E11E87C158CA0568DC94","3598FB0C8C1E11E87C158CA0568DC94","3598FB0D8C1E11E87C158CA0568DC94","3598FB0D8C1E11E87C158CA0568DC94","3598FB0D8C1E11E87C158CA0568DC94","CA310","CA310","CA310","CA330","CA330","CA330","CA340","CA340","CA340","CA320","CA320","CA320","CA350","CA350","CA350","CA370","CA370","CA370","CA380","CA380","CA380","CA390","CA390","CA390","CA3A0","CA3A0","CA3A0","CA3B0","CA3B0","CA3B0","CA3C0","CA3C0","CA3C0","CA2E0","CA2E0","CA2E0","CA3D0","CA3D0","CA3D0","CA3E0","CA3E0","CA3E0","CA3F0","CA3F0","CA3F0","CA400","CA400","CA400","CA430","CA430","CA430","CA420","CA420","CA420","CA440","CA440","CA440","CA450","CA450","CA450","CA460","CA460","CA460","CA480","CA480","CA480"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.003050,0.103971,-0.123229,-0.986912,2.483420,0.168285,0.859581,0.000000,2.471738,0.163828,0.869819,0.932573,2.428645,0.159671,0.724385,0.963655,2.567847,0.182141,0.867184,0.922957,2.465450,0.167501,0.976938,0.898140,2.471738,0.163828,0.869819,2.428645,0.159671,0.724385,2.567847,0.182141,0.867184,2.465450,0.167501,0.976938,-3.105039,1.289940,-4.833304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.002778,-0.002799,0.103691,-0.124116,-0.986831,2.483398,0.168245,0.859550,0.000000,2.471729,0.163775,0.869797,0.932573,2.428574,0.159435,0.724386,0.963655,2.567804,0.182252,0.867103,0.922957,2.465484,0.167517,0.976916,0.898140,2.471729,0.163775,0.869797,2.428574,0.159435,0.724386,2.567804,0.182252,0.867103,2.465484,0.167517,0.976916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005556,-0.001724,0.104188,-0.120367,-0.987246,2.483576,0.167928,0.859527,0.000000,2.471861,0.163561,0.869765,0.898796,2.428839,0.159377,0.724311,0.881023,2.568079,0.181292,0.867159,0.968243,2.465524,0.167484,0.976873,0.809444,2.471861,0.163561,0.869765,2.428839,0.159377,0.724311,2.568079,0.181292,0.867159,2.465524,0.167484,0.976873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.008333,-0.002830,0.104094,-0.124728,-0.986711,2.483325,0.168221,0.859502,0.000000,2.471653,0.163736,0.869738,0.898796,2.428623,0.159348,0.724293,0.881023,2.567708,0.182333,0.867124,0.968243,2.465317,0.167467,0.976853,0.809444,2.471653,0.163736,0.869738,2.428623,0.159348,0.724293,2.567708,0.182333,0.867124,2.465317,0.167467,0.976853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.011111,-0.002232,0.105087,-0.125614,-0.986495,2.483459,0.168180,0.859763,0.000000,2.471772,0.163687,0.869979,0.931338,2.429063,0.159065,0.724446,0.900800,2.567801,0.182441,0.867551,0.894994,2.465198,0.167527,0.977075,0.864186,2.471772,0.163687,0.869979,2.429063,0.159065,0.724446,2.567801,0.182441,0.867551,2.465198,0.167527,0.977075,-3.105087,1.290164,-4.833226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.013889,-0.002650,0.104585,-0.125659,-0.986542,2.483405,0.168267,0.859719,0.000000,2.471730,0.163765,0.869945,0.931338,2.428861,0.159236,0.724456,0.900800,2.567753,0.182537,0.867423,0.894994,2.465274,0.167530,0.977051,0.864186,2.471730,0.163765,0.869945,2.428861,0.159236,0.724456,2.567753,0.182537,0.867423,2.465274,0.167530,0.977051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
