Format Version,1.22,Take Name,day 2 front left triangle,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-20 09.07.29.815 AM,Total Frames in Take,1516,Total Exported Frames,1516,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,"front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker4","front right triangle:Marker4","front right triangle:Marker4","front right triangle:Marker4",front right triangle:Marker1,front right triangle:Marker1,front right triangle:Marker1,front right triangle:Marker2,front right triangle:Marker2,front right triangle:Marker2,front right triangle:Marker3,front right triangle:Marker3,front right triangle:Marker3,front right triangle:Marker4,front right triangle:Marker4,front right triangle:Marker4,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029
,,"64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","DA38634F8C1D11E87C158CA0568DC94","DA38634F8C1D11E87C158CA0568DC94","DA38634F8C1D11E87C158CA0568DC94","DA3863508C1D11E87C158CA0568DC94","DA3863508C1D11E87C158CA0568DC94","DA3863508C1D11E87C158CA0568DC94","DA3863518C1D11E87C158CA0568DC94","DA3863518C1D11E87C158CA0568DC94","DA3863518C1D11E87C158CA0568DC94","DA3863528C1D11E87C158CA0568DC94","DA3863528C1D11E87C158CA0568DC94","DA3863528C1D11E87C158CA0568DC94","C4C10","C4C10","C4C10","C4C40","C4C40","C4C40","C4B50","C4B50","C4B50","C4C60","C4C60","C4C60","C4CC0","C4CC0","C4CC0","C4CE0","C4CE0","C4CE0","C4D10","C4D10","C4D10"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.005365,0.108877,0.028065,-0.993645,0.233200,0.168224,-2.694836,0.000000,0.220601,0.167312,-2.684758,0.870386,0.179942,0.178311,-2.830536,0.954757,0.317818,0.156121,-2.686413,0.934807,0.214438,0.171151,-2.577637,0.935553,0.220601,0.167312,-2.684758,0.179942,0.178311,-2.830536,0.317818,0.156121,-2.686413,0.214438,0.171151,-2.577637,,,,,,,,,,,,,,,,,,,,,
1,0.002778,0.005708,0.109266,0.026856,-0.993633,0.233280,0.168434,-2.694821,0.000000,0.220675,0.167502,-2.684752,0.870386,0.180100,0.178266,-2.830570,0.954757,0.317920,0.156536,-2.686323,0.934807,0.214424,0.171431,-2.577639,0.935553,0.220675,0.167502,-2.684752,0.180100,0.178266,-2.830570,0.317920,0.156536,-2.686323,0.214424,0.171431,-2.577639,,,,,,,,,,,,,,,,,,,,,
2,0.005556,0.004772,0.108554,0.027350,-0.993703,0.233257,0.168349,-2.694877,0.000000,0.220665,0.167406,-2.684792,0.920840,0.179898,0.178494,-2.830533,0.932323,0.317899,0.156368,-2.686519,0.969637,0.214564,0.171125,-2.577663,0.868232,0.220665,0.167406,-2.684792,0.179898,0.178494,-2.830533,0.317899,0.156368,-2.686519,0.214564,0.171125,-2.577663,,,,,,,,,,,,,,,,,,,,,
3,0.008333,0.004564,0.109231,0.025983,-0.993666,0.233188,0.168329,-2.694794,0.000000,0.220585,0.167352,-2.684726,0.920840,0.179985,0.178339,-2.830521,0.932323,0.317851,0.156583,-2.686323,0.969637,0.214329,0.171045,-2.577606,0.868232,0.220585,0.167352,-2.684726,0.179985,0.178339,-2.830521,0.317851,0.156583,-2.686323,0.214329,0.171045,-2.577606,,,,,,,,,,,,,,,,,,,,,
4,0.011111,0.005157,0.108881,0.026960,-0.993676,0.233179,0.168313,-2.694783,0.000000,0.220582,0.167371,-2.684705,0.923460,0.179899,0.178305,-2.830481,0.932009,0.317825,0.156399,-2.686362,0.970564,0.214411,0.171178,-2.577584,0.862567,0.220582,0.167371,-2.684705,0.179899,0.178305,-2.830481,0.317825,0.156399,-2.686362,0.214411,0.171178,-2.577584,,,,,,,,,,,,,,,,,,,,,
5,0.013889,0.005265,0.108913,0.026978,-0.993671,0.233198,0.168398,-2.694831,0.000000,0.220600,0.167459,-2.684754,0.816160,0.179926,0.178364,-2.830535,0.907129,0.317842,0.156481,-2.686403,0.907829,0.214423,0.171289,-2.577634,0.832934,0.220600,0.167459,-2.684754,0.179926,0.178364,-2.830535,0.317842,0.156481,-2.686403,0.214423,0.171289,-2.577634,,,,,,,,,,,,,,,,,,,,,
