Format Version,1.22,Take Name,day 2 front right triangle,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-20 09.05.33.791 AM,Total Frames in Take,1273,Total Exported Frames,1273,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,"front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker4","front right triangle:Marker4","front right triangle:Marker4","front right triangle:Marker4",front right triangle:Marker1,front right triangle:Marker1,front right triangle:Marker1,front right triangle:Marker2,front right triangle:Marker2,front right triangle:Marker2,front right triangle:Marker3,front right triangle:Marker3,front right triangle:Marker3,front right triangle:Marker4,front right triangle:Marker4,front right triangle:Marker4
,,"64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","9469D7BF8C1D11E87C158CA0568DC94","9469D7BF8C1D11E87C158CA0568DC94","9469D7BF8C1D11E87C158CA0568DC94","9469D7C08C1D11E87C158CA0568DC94","9469D7C08C1D11E87C158CA0568DC94","9469D7C08C1D11E87C158CA0568DC94","9469D7C18C1D11E87C158CA0568DC94","9469D7C18C1D11E87C158CA0568DC94","9469D7C18C1D11E87C158CA0568DC94","9469D7C28C1D11E87C158CA0568DC94","9469D7C28C1D11E87C158CA0568DC94","9469D7C28C1D11E87C158CA0568DC94"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.006225,0.007231,0.007451,-0.999927,0.330327,0.168548,-0.149594,0.000000,0.320075,0.166870,-0.137216,0.969425,0.250352,0.178920,-0.271450,0.977809,0.415315,0.160099,-0.158726,0.992013,0.335567,0.168302,-0.030982,0.970635,0.320075,0.166870,-0.137216,0.250352,0.178920,-0.271450,0.415315,0.160099,-0.158726,0.335567,0.168302,-0.030982
1,0.002778,-0.003684,0.007321,0.009049,-0.999926,0.330317,0.168807,-0.149649,0.000000,0.320058,0.167225,-0.137264,0.969425,0.250390,0.178821,-0.271567,0.977809,0.415278,0.160037,-0.158727,0.992013,0.335542,0.169144,-0.031037,0.970635,0.320058,0.167225,-0.137264,0.250390,0.178821,-0.271567,0.415278,0.160037,-0.158727,0.335542,0.169144,-0.031037
2,0.005556,-0.002637,0.007348,0.009980,-0.999920,0.330280,0.169065,-0.149714,0.000000,0.320018,0.167528,-0.137327,0.888704,0.250375,0.178976,-0.271655,0.856824,0.415225,0.160117,-0.158772,0.870779,0.335503,0.169639,-0.031103,0.870537,0.320018,0.167528,-0.137327,0.250375,0.178976,-0.271655,0.415225,0.160117,-0.158772,0.335503,0.169639,-0.031103
3,0.008333,-0.002436,0.006724,0.008903,-0.999935,0.330230,0.168889,-0.149557,0.000000,0.319987,0.167335,-0.137156,0.888704,0.250152,0.178577,-0.271402,0.856824,0.415183,0.160120,-0.158717,0.870779,0.335600,0.169522,-0.030953,0.870537,0.319987,0.167335,-0.137156,0.250152,0.178577,-0.271402,0.415183,0.160120,-0.158717,0.335600,0.169522,-0.030953
4,0.011111,-0.005151,0.007499,0.008607,-0.999922,0.330352,0.168629,-0.149617,0.000000,0.320090,0.167001,-0.137241,0.879618,0.250463,0.178927,-0.271536,0.822567,0.415324,0.159963,-0.158688,0.903898,0.335531,0.168624,-0.031003,0.862946,0.320090,0.167001,-0.137241,0.250463,0.178927,-0.271536,0.415324,0.159963,-0.158688,0.335531,0.168624,-0.031003
5,0.013889,-0.004191,0.006955,0.009678,-0.999920,0.330108,0.168679,-0.149602,0.000000,0.319856,0.167097,-0.137211,0.879618,0.250105,0.178919,-0.271451,0.822567,0.415051,0.159813,-0.158751,0.903898,0.335420,0.168887,-0.030994,0.862946,0.319856,0.167097,-0.137211,0.250105,0.178919,-0.271451,0.415051,0.159813,-0.158751,0.335420,0.168887,-0.030994
