Format Version,1.22,Take Name,DavidFail2,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-08-03 09.17.49.319 AM,Total Frames in Take,7056,Total Exported Frames,7056,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,UAVSAR1,UAVSAR1,UAVSAR1,UAVSAR1,UAVSAR1,UAVSAR1,UAVSAR1,UAVSAR1,"UAVSAR1:Marker1","UAVSAR1:Marker1","UAVSAR1:Marker1","UAVSAR1:Marker1","UAVSAR1:Marker2","UAVSAR1:Marker2","UAVSAR1:Marker2","UAVSAR1:Marker2","UAVSAR1:Marker3","UAVSAR1:Marker3","UAVSAR1:Marker3","UAVSAR1:Marker3","UAVSAR1:Marker4","UAVSAR1:Marker4","UAVSAR1:Marker4","UAVSAR1:Marker4","UAVSAR1:Marker5","UAVSAR1:Marker5","UAVSAR1:Marker5","UAVSAR1:Marker5",UAVSAR1:Marker1,UAVSAR1:Marker1,UAVSAR1:Marker1,UAVSAR1:Marker2,UAVSAR1:Marker2,UAVSAR1:Marker2,UAVSAR1:Marker3,UAVSAR1:Marker3,UAVSAR1:Marker3,UAVSAR1:Marker4,UAVSAR1:Marker4,UAVSAR1:Marker4,UAVSAR1:Marker5,UAVSAR1:Marker5,UAVSAR1:Marker5,Unlabeled 1331,Unlabeled 1331,Unlabeled 1331,Unlabeled 1332,Unlabeled 1332,Unlabeled 1332,Unlabeled 1333,Unlabeled 1333,Unlabeled 1333
,,"AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","AD9BC7DF971B11E87C158CA0568DD94","9AD85ABE971F11E87C158CA0568DD94","9AD85ABE971F11E87C158CA0568DD94","9AD85ABE971F11E87C158CA0568DD94","9AD85ABF971F11E87C158CA0568DD94","9AD85ABF971F11E87C158CA0568DD94","9AD85ABF971F11E87C158CA0568DD94","9AD85AC0971F11E87C158CA0568DD94","9AD85AC0971F11E87C158CA0568DD94","9AD85AC0971F11E87C158CA0568DD94","9AD85AC1971F11E87C158CA0568DD94","9AD85AC1971F11E87C158CA0568DD94","9AD85AC1971F11E87C158CA0568DD94","9AD85AC2971F11E87C158CA0568DD94","9AD85AC2971F11E87C158CA0568DD94","9AD85AC2971F11E87C158CA0568DD94","CA890","CA890","CA890","CA8B0","CA8B0","CA8B0","CA8F0","CA8F0","CA8F0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.006376,0.062753,0.008633,-0.997971,-3.250191,1.081981,0.575900,0.000000,-3.472003,1.073817,0.578784,0.936279,-3.388799,1.156839,0.575897,0.960835,-3.160643,1.058425,0.581559,0.916359,-3.116043,1.058146,0.476879,0.898531,-3.113466,1.062676,0.666382,0.945672,-3.472003,1.073817,0.578784,-3.388799,1.156839,0.575897,-3.160643,1.058425,0.581559,-3.116043,1.058146,0.476879,-3.113466,1.062676,0.666382,,,,,,,,,
1,0.002778,0.006053,0.062658,0.008914,-0.997977,-3.250281,1.081916,0.575959,0.000000,-3.472097,1.073866,0.578877,0.936279,-3.388850,1.156847,0.576032,0.960835,-3.160744,1.058310,0.581585,0.916359,-3.116164,1.058079,0.476897,0.898531,-3.113549,1.062479,0.666402,0.945672,-3.472097,1.073866,0.578877,-3.388850,1.156847,0.576032,-3.160744,1.058310,0.581585,-3.116164,1.058079,0.476897,-3.113549,1.062479,0.666402,,,,,,,,,
2,0.005556,0.005712,0.062896,0.009143,-0.997962,-3.250303,1.081970,0.575941,0.000000,-3.472123,1.074009,0.578746,0.933219,-3.388841,1.156958,0.575999,0.937811,-3.160778,1.058323,0.581594,0.922914,-3.116147,1.058147,0.476928,0.907286,-3.113623,1.062412,0.666437,0.957513,-3.472123,1.074009,0.578746,-3.388841,1.156958,0.575999,-3.160778,1.058323,0.581594,-3.116147,1.058147,0.476928,-3.113623,1.062412,0.666437,,,,,,,,,
3,0.008333,0.005367,0.062751,0.008786,-0.997976,-3.250372,1.081894,0.575929,0.000000,-3.472185,1.073764,0.578793,0.937706,-3.388967,1.156777,0.576076,0.941102,-3.160828,1.058311,0.581541,0.920679,-3.116227,1.058236,0.476861,0.897198,-3.113651,1.062380,0.666373,0.957049,-3.472185,1.073764,0.578793,-3.388967,1.156777,0.576076,-3.160828,1.058311,0.581541,-3.116227,1.058236,0.476861,-3.113651,1.062380,0.666373,,,,,,,,,
4,0.011111,0.005862,0.062590,0.009160,-0.997980,-3.250404,1.081977,0.575886,0.000000,-3.472224,1.074029,0.578830,0.920823,-3.388939,1.156972,0.576008,0.956379,-3.160878,1.058326,0.581492,0.899377,-3.116311,1.058117,0.476798,0.880084,-3.113670,1.062438,0.666305,0.905752,-3.472224,1.074029,0.578830,-3.388939,1.156972,0.576008,-3.160878,1.058326,0.581492,-3.116311,1.058117,0.476798,-3.113670,1.062438,0.666305,,,,,,,,,
5,0.013889,0.005731,0.062336,0.008961,-0.997999,-3.250240,1.082077,0.576002,0.000000,-3.472054,1.074038,0.579056,0.941364,-3.388804,1.157016,0.576212,0.952527,-3.160701,1.058462,0.581556,0.910971,-3.116187,1.058296,0.476839,0.882669,-3.113451,1.062572,0.666345,0.941234,-3.472054,1.074038,0.579056,-3.388804,1.157016,0.576212,-3.160701,1.058462,0.581556,-3.116187,1.058296,0.476839,-3.113451,1.062572,0.666345,,,,,,,,,
