Format Version,1.22,Take Name,ReferenceReflector8_3,Capture Frame Rate,360,Export Frame Rate,360,Capture Start Time,2018-08-03 08.34.32.725 AM,Total Frames in Take,5545,Total Exported Frames,5545,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.920519426,0.089892255,-1.116615139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Reflector,Reflector,Reflector,Reflector,Reflector,Reflector,Reflector,Reflector,Reflector:Marker1,Reflector:Marker1,Reflector:Marker1,Reflector:Marker1,Reflector:Marker2,Reflector:Marker2,Reflector:Marker2,Reflector:Marker2,Reflector:Marker3,Reflector:Marker3,Reflector:Marker3,Reflector:Marker3,Reflector:Marker4,Reflector:Marker4,Reflector:Marker4,Reflector:Marker4,Reflector:Marker1,Reflector:Marker1,Reflector:Marker1,Reflector:Marker2,Reflector:Marker2,Reflector:Marker2,Reflector:Marker3,Reflector:Marker3,Reflector:Marker3,Reflector:Marker4,Reflector:Marker4,Reflector:Marker4,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1030,Unlabeled 1030,Unlabeled 1030,Unlabeled 1031,Unlabeled 1031,Unlabeled 1031,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032,Unlabeled 1034,Unlabeled 1034,Unlabeled 1034,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035,Unlabeled 1036,Unlabeled 1036,Unlabeled 1036,Unlabeled 1039,Unlabeled 1039,Unlabeled 1039,Unlabeled 1040,Unlabeled 1040,Unlabeled 1040,Unlabeled 1043,Unlabeled 1043,Unlabeled 1043,Unlabeled 1044,Unlabeled 1044,Unlabeled 1044,Unlabeled 1045,Unlabeled 1045,Unlabeled 1045,Unlabeled 1046,Unlabeled 1046,Unlabeled 1046,Unlabeled 1047,Unlabeled 1047,Unlabeled 1047,Unlabeled 1048,Unlabeled 1048,Unlabeled 1048,Unlabeled 1050,Unlabeled 1050,Unlabeled 1050,Unlabeled 1053,Unlabeled 1053,Unlabeled 1053,Unlabeled 1054,Unlabeled 1054,Unlabeled 1054,Unlabeled 1055,Unlabeled 1055,Unlabeled 1055,Unlabeled 1056,Unlabeled 1056,Unlabeled 1056,Unlabeled 1057,Unlabeled 1057,Unlabeled 1057,Unlabeled 1059,Unlabeled 1059,Unlabeled 1059,Unlabeled 1061,Unlabeled 1061,Unlabeled 1061,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064,Unlabeled 1065,Unlabeled 1065,Unlabeled 1065,Unlabeled 1067,Unlabeled 1067,Unlabeled 1067,Unlabeled 1068,Unlabeled 1068,Unlabeled 1068,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Unlabeled 1070,Unlabeled 1070,Unlabeled 1070,Unlabeled 1071,Unlabeled 1071,Unlabeled 1071,Unlabeled 1072,Unlabeled 1072,Unlabeled 1072,Unlabeled 1073,Unlabeled 1073,Unlabeled 1073,Unlabeled 1074,Unlabeled 1074,Unlabeled 1074
,,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,282C73A5971911E87C158CA0568DD94,91DE07DD971911E87C158CA0568DD94,91DE07DD971911E87C158CA0568DD94,91DE07DD971911E87C158CA0568DD94,91DE07DE971911E87C158CA0568DD94,91DE07DE971911E87C158CA0568DD94,91DE07DE971911E87C158CA0568DD94,91DE07DF971911E87C158CA0568DD94,91DE07DF971911E87C158CA0568DD94,91DE07DF971911E87C158CA0568DD94,91DE07E0971911E87C158CA0568DD94,91DE07E0971911E87C158CA0568DD94,91DE07E0971911E87C158CA0568DD94,CAA70,CAA70,CAA70,D2050,D2050,D2050,D2130,D2130,D2130,D2140,D2140,D2140,D2180,D2180,D2180,D2190,D2190,D2190,D21C0,D21C0,D21C0,D21E0,D21E0,D21E0,D21F0,D21F0,D21F0,D2210,D2210,D2210,D2200,D2200,D2200,D2220,D2220,D2220,D2240,D2240,D2240,D2280,D2280,D2280,D2290,D2290,D2290,D22B0,D22B0,D22B0,D22C0,D22C0,D22C0,D22D0,D22D0,D22D0,D22E0,D22E0,D22E0,D2300,D2300,D2300,D2310,D2310,D2310,D2340,D2340,D2340,D22F0,D22F0,D22F0,D2370,D2370,D2370,D2380,D2380,D2380,D23A0,D23A0,D23A0,D23B0,D23B0,D23B0,D23C0,D23C0,D23C0,D23D0,D23D0,D23D0,D23E0,D23E0,D23E0,D2410,D2410,D2410,D2420,D2420,D2420,D23F0,D23F0,D23F0,D2430,D2430,D2430,D2440,D2440,D2440,D2480,D2480,D2480,D24A0,D24A0,D24A0,D24C0,D24C0,D24C0,D24D0,D24D0,D24D0,D24E0,D24E0,D24E0,D24F0,D24F0,D24F0,D2510,D2510,D2510,D2520,D2520,D2520,D2530,D2530,D2530,D2540,D2540,D2540,D2550,D2550,D2550,D2560,D2560,D2560,D2570,D2570,D2570
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,-0.177759,0.108897,-0.064805,0.975881,2.920526,0.089577,-1.116731,0,3.00357,0.089678,-0.998374,0.800248,2.835912,0.115234,-1.108225,0.778648,2.928919,0.084041,-1.125972,0.827367,2.913702,0.069357,-1.234355,0.751421,3.00357,0.089678,-0.998374,2.835912,0.115234,-1.108225,2.928919,0.084041,-1.125972,2.913702,0.069357,-1.234355,-1.186011,0.001793,-11.890553,-1.377087,0.002992,-12.133391,2.921415,0.092099,-1.12811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.002778,-0.177029,0.106904,-0.061892,0.976423,2.920639,0.090144,-1.116571,0,3.003318,0.090531,-0.997959,0.800248,2.835839,0.11525,-1.108274,0.778648,2.929095,0.084679,-1.125797,0.827367,2.914303,0.070117,-1.234255,0.751421,3.003318,0.090531,-0.997959,2.835839,0.11525,-1.108274,2.929095,0.084679,-1.125797,2.914303,0.070117,-1.234255,-1.18604,0.001789,-11.890531,-1.377128,0.003069,-12.133416,2.921453,0.092114,-1.128131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005556,-0.175573,0.10803,-0.062351,0.976533,2.920852,0.090046,-1.116639,0,3.003749,0.089954,-0.998178,0.800248,2.836108,0.115262,-1.108113,0.778648,2.929283,0.084594,-1.125896,0.827367,2.914269,0.070373,-1.234369,0.751421,3.003749,0.089954,-0.998178,2.836108,0.115262,-1.108113,2.929283,0.084594,-1.125896,2.914269,0.070373,-1.234369,-1.186024,0.001828,-11.890538,-1.373444,0.005161,-12.132776,2.921426,0.092181,-1.128128,-1.496469,0.009823,-11.886426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.008333,-0.178642,0.109233,-0.06514,0.97566,2.920674,0.08964,-1.116714,0,3.003801,0.089907,-0.998415,0.800248,2.836081,0.115364,-1.108195,0.778648,2.929057,0.084082,-1.12595,0.827367,2.913755,0.069209,-1.234295,0.751421,3.003801,0.089907,-0.998415,2.836081,0.115364,-1.108195,2.929057,0.084082,-1.12595,2.913755,0.069209,-1.234295,-1.186398,0.001998,-11.890789,-1.373422,0.005276,-12.132796,2.92151,0.092113,-1.128131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
