Format Version,1.22,Take Name,UASSAR4_rail_diagonal,Capture Frame Rate,360,Export Frame Rate,360,Capture Start Time,2018-07-20 09.54.20.680 AM,Total Frames in Take,7404,Total Exported Frames,7404,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,UASSAR4,UASSAR4,UASSAR4,UASSAR4,UASSAR4,UASSAR4,UASSAR4,UASSAR4,UASSAR4:Marker1,UASSAR4:Marker1,UASSAR4:Marker1,UASSAR4:Marker1,UASSAR4:Marker2,UASSAR4:Marker2,UASSAR4:Marker2,UASSAR4:Marker2,UASSAR4:Marker3,UASSAR4:Marker3,UASSAR4:Marker3,UASSAR4:Marker3,UASSAR4:Marker4,UASSAR4:Marker4,UASSAR4:Marker4,UASSAR4:Marker4,UASSAR4:Marker5,UASSAR4:Marker5,UASSAR4:Marker5,UASSAR4:Marker5,UASSAR4:Marker1,UASSAR4:Marker1,UASSAR4:Marker1,UASSAR4:Marker2,UASSAR4:Marker2,UASSAR4:Marker2,UASSAR4:Marker3,UASSAR4:Marker3,UASSAR4:Marker3,UASSAR4:Marker4,UASSAR4:Marker4,UASSAR4:Marker4,UASSAR4:Marker5,UASSAR4:Marker5,UASSAR4:Marker5
,,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,2891AC6D8C2011E87C158CA0568DC94,63E6D31D8C2411E87C158CA0568DC94,63E6D31D8C2411E87C158CA0568DC94,63E6D31D8C2411E87C158CA0568DC94,63E6D31E8C2411E87C158CA0568DC94,63E6D31E8C2411E87C158CA0568DC94,63E6D31E8C2411E87C158CA0568DC94,63E6D31F8C2411E87C158CA0568DC94,63E6D31F8C2411E87C158CA0568DC94,63E6D31F8C2411E87C158CA0568DC94,63E6D3208C2411E87C158CA0568DC94,63E6D3208C2411E87C158CA0568DC94,63E6D3208C2411E87C158CA0568DC94,63E6D3218C2411E87C158CA0568DC94,63E6D3218C2411E87C158CA0568DC94,63E6D3218C2411E87C158CA0568DC94
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0.035496,0.200338,0.074705,-0.976229,-3.821805,1.86801,0.752322,0,-3.73026,1.86388,0.825761,0.93636,-3.656792,1.859144,0.759665,0.942671,-3.725412,1.864761,0.690128,0.930105,-3.999172,1.876208,0.811714,0.960428,-3.997391,1.876058,0.67434,0.964732,-3.73026,1.86388,0.825761,-3.656792,1.859144,0.759665,-3.725412,1.864761,0.690128,-3.999172,1.876208,0.811714,-3.997391,1.876058,0.67434
1,0.002778,0.034705,0.200385,0.075263,-0.976205,-3.821855,1.868073,0.75227,0,-3.730332,1.863743,0.825725,0.93636,-3.65685,1.859067,0.75964,0.942671,-3.725449,1.864859,0.690096,0.930105,-3.999231,1.876304,0.81163,0.960428,-3.997414,1.876394,0.674257,0.964732,-3.730332,1.863743,0.825725,-3.65685,1.859067,0.75964,-3.725449,1.864859,0.690096,-3.999231,1.876304,0.81163,-3.997414,1.876394,0.674257
2,0.005556,0.035174,0.200266,0.074922,-0.976239,-3.821802,1.867963,0.752343,0,-3.730252,1.863752,0.825772,0.931125,-3.65679,1.859043,0.759666,0.944784,-3.725415,1.86473,0.69014,0.926849,-3.999161,1.87617,0.811756,0.960428,-3.997391,1.87612,0.674382,0.947912,-3.730252,1.863752,0.825772,-3.65679,1.859043,0.759666,-3.725415,1.86473,0.69014,-3.999161,1.87617,0.811756,-3.997391,1.87612,0.674382
3,0.008333,0.034422,0.200226,0.074427,-0.976312,-3.821831,1.867945,0.752379,0,-3.730273,1.863756,0.8258,0.931125,-3.656808,1.859226,0.759686,0.944784,-3.725442,1.864914,0.690169,0.926849,-3.999199,1.875849,0.811807,0.960428,-3.997432,1.875977,0.674434,0.947912,-3.730273,1.863756,0.8258,-3.656808,1.859226,0.759686,-3.725442,1.864914,0.690169,-3.999199,1.875849,0.811807,-3.997432,1.875977,0.674434
