Format Version,1.22,Take Name,day 2 back left triangle,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-20 09.09.12.297 AM,Total Frames in Take,1333,Total Exported Frames,1333,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,front right triangle,"front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker1","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker2","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker3","front right triangle:Marker4","front right triangle:Marker4","front right triangle:Marker4","front right triangle:Marker4",front right triangle:Marker1,front right triangle:Marker1,front right triangle:Marker1,front right triangle:Marker2,front right triangle:Marker2,front right triangle:Marker2,front right triangle:Marker3,front right triangle:Marker3,front right triangle:Marker3,front right triangle:Marker4,front right triangle:Marker4,front right triangle:Marker4,Unlabeled 1045,Unlabeled 1045,Unlabeled 1045,Unlabeled 1046,Unlabeled 1046,Unlabeled 1046,Unlabeled 1048,Unlabeled 1048,Unlabeled 1048,Unlabeled 1049,Unlabeled 1049,Unlabeled 1049,Unlabeled 1050,Unlabeled 1050,Unlabeled 1050,Unlabeled 1051,Unlabeled 1051,Unlabeled 1051,Unlabeled 1052,Unlabeled 1052,Unlabeled 1052,Unlabeled 1053,Unlabeled 1053,Unlabeled 1053,Unlabeled 1054,Unlabeled 1054,Unlabeled 1054,Unlabeled 1055,Unlabeled 1055,Unlabeled 1055,Unlabeled 1056,Unlabeled 1056,Unlabeled 1056,Unlabeled 1057,Unlabeled 1057,Unlabeled 1057,Unlabeled 1058,Unlabeled 1058,Unlabeled 1058,Unlabeled 1059,Unlabeled 1059,Unlabeled 1059,Unlabeled 1060,Unlabeled 1060,Unlabeled 1060,Unlabeled 1061,Unlabeled 1061,Unlabeled 1061,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064,Unlabeled 1065,Unlabeled 1065,Unlabeled 1065,Unlabeled 1066,Unlabeled 1066,Unlabeled 1066,Unlabeled 1067,Unlabeled 1067,Unlabeled 1067,Unlabeled 1068,Unlabeled 1068,Unlabeled 1068,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Unlabeled 1070,Unlabeled 1070,Unlabeled 1070,Unlabeled 1071,Unlabeled 1071,Unlabeled 1071,Unlabeled 1072,Unlabeled 1072,Unlabeled 1072,Unlabeled 1073,Unlabeled 1073,Unlabeled 1073,Unlabeled 1074,Unlabeled 1074,Unlabeled 1074,Unlabeled 1075,Unlabeled 1075,Unlabeled 1075,Unlabeled 1076,Unlabeled 1076,Unlabeled 1076,Unlabeled 1077,Unlabeled 1077,Unlabeled 1077,Unlabeled 1078,Unlabeled 1078,Unlabeled 1078,Unlabeled 1079,Unlabeled 1079,Unlabeled 1079,Unlabeled 1080,Unlabeled 1080,Unlabeled 1080,Unlabeled 1082,Unlabeled 1082,Unlabeled 1082,Unlabeled 1085,Unlabeled 1085,Unlabeled 1085,Unlabeled 1086,Unlabeled 1086,Unlabeled 1086,Unlabeled 1087,Unlabeled 1087,Unlabeled 1087,Unlabeled 1088,Unlabeled 1088,Unlabeled 1088,Unlabeled 1089,Unlabeled 1089,Unlabeled 1089,Unlabeled 1090,Unlabeled 1090,Unlabeled 1090,Unlabeled 1091,Unlabeled 1091,Unlabeled 1091,Unlabeled 1092,Unlabeled 1092,Unlabeled 1092
,,"64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","64A91D708C1D11E87C158CA0568DC94","17BF6EEA8C1E11E87C158CA0568DC94","17BF6EEA8C1E11E87C158CA0568DC94","17BF6EEA8C1E11E87C158CA0568DC94","17BF6EEB8C1E11E87C158CA0568DC94","17BF6EEB8C1E11E87C158CA0568DC94","17BF6EEB8C1E11E87C158CA0568DC94","17BF6EEC8C1E11E87C158CA0568DC94","17BF6EEC8C1E11E87C158CA0568DC94","17BF6EEC8C1E11E87C158CA0568DC94","17BF6EED8C1E11E87C158CA0568DC94","17BF6EED8C1E11E87C158CA0568DC94","17BF6EED8C1E11E87C158CA0568DC94","C77E0","C77E0","C77E0","C7760","C7760","C7760","C6BC0","C6BC0","C6BC0","C78F0","C78F0","C78F0","C6BA0","C6BA0","C6BA0","C7920","C7920","C7920","C7930","C7930","C7930","C7970","C7970","C7970","C7940","C7940","C7940","C7980","C7980","C7980","C7990","C7990","C7990","C79A0","C79A0","C79A0","C79B0","C79B0","C79B0","C79C0","C79C0","C79C0","C7910","C7910","C7910","C79D0","C79D0","C79D0","C79E0","C79E0","C79E0","C7950","C7950","C7950","C79F0","C79F0","C79F0","C7A10","C7A10","C7A10","C7960","C7960","C7960","C7A00","C7A00","C7A00","8008D403B2A","8008D403B2A","8008D403B2A","C7A20","C7A20","C7A20","C7A50","C7A50","C7A50","C7A60","C7A60","C7A60","C7A70","C7A70","C7A70","C7A80","C7A80","C7A80","C7A30","C7A30","C7A30","C7A40","C7A40","C7A40","C7A90","C7A90","C7A90","C7AC0","C7AC0","C7AC0","C7AD0","C7AD0","C7AD0","C7AE0","C7AE0","C7AE0","C7AF0","C7AF0","C7AF0","C7B00","C7B00","C7B00","C7B60","C7B60","C7B60","C7B80","C7B80","C7B80","C7B50","C7B50","C7B50","C7B70","C7B70","C7B70","C7BA0","C7BA0","C7BA0","C7B90","C7B90","C7B90","C7BC0","C7BC0","C7BC0","C7BD0","C7BD0","C7BD0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.014639,0.312448,-0.088852,-0.945657,2.439826,0.168011,-2.168293,0.000000,2.424815,0.163724,-2.164119,0.867892,2.444952,0.172586,-2.314257,0.720756,2.514192,0.175182,-2.125915,0.867590,2.375345,0.160553,-2.068882,0.800278,2.424815,0.163724,-2.164119,2.444952,0.172586,-2.314257,2.514192,0.175182,-2.125915,2.375345,0.160553,-2.068882,2.518164,0.190902,-2.137351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.002778,-0.013953,0.313592,-0.092405,-0.944948,2.439685,0.168154,-2.168144,0.000000,2.424690,0.163785,-2.163999,0.867892,2.445197,0.172282,-2.314107,0.720756,2.513883,0.175938,-2.125581,0.867590,2.374970,0.160610,-2.068891,0.800278,2.424690,0.163785,-2.163999,2.445197,0.172282,-2.314107,2.513883,0.175938,-2.125581,2.374970,0.160610,-2.068891,2.518198,0.190893,-2.137332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.005556,-0.014535,0.312569,-0.088688,-0.945634,2.439791,0.168011,-2.168270,0.000000,2.424777,0.163730,-2.164099,0.870357,2.444956,0.172574,-2.314233,0.722483,2.514149,0.175157,-2.125873,0.870964,2.375282,0.160584,-2.068874,0.809235,2.424777,0.163730,-2.164099,2.444956,0.172574,-2.314233,2.514149,0.175157,-2.125873,2.375282,0.160584,-2.068874,2.518231,0.190955,-2.137356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.008333,-0.014333,0.312979,-0.092401,-0.945146,2.439583,0.168217,-2.168181,0.000000,2.424594,0.163842,-2.164018,0.870357,2.444896,0.172434,-2.314149,0.722483,2.513837,0.175992,-2.125713,0.870964,2.375004,0.160600,-2.068845,0.809235,2.424594,0.163842,-2.164018,2.444896,0.172434,-2.314149,2.513837,0.175992,-2.125713,2.375004,0.160600,-2.068845,2.518179,0.190902,-2.137382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.011111,-0.013752,0.312698,-0.088953,-0.945578,2.439879,0.167964,-2.168356,0.000000,2.424863,0.163689,-2.164185,0.869917,2.445106,0.172290,-2.314324,0.752140,2.514219,0.175179,-2.125940,0.928448,2.375327,0.160697,-2.068976,0.774468,2.424863,0.163689,-2.164185,2.445106,0.172290,-2.314324,2.514219,0.175179,-2.125940,2.375327,0.160697,-2.068976,2.518221,0.190942,-2.137335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.013889,-0.015158,0.312159,-0.092051,-0.945438,2.439640,0.168084,-2.168374,0.000000,2.424659,0.163705,-2.164190,0.569797,2.444678,0.172537,-2.314345,0.403972,2.513976,0.175777,-2.126034,0.630284,2.375249,0.160317,-2.068928,0.560290,2.424659,0.163705,-2.164190,2.444678,0.172537,-2.314345,2.513976,0.175777,-2.126034,2.375249,0.160317,-2.068928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
